Province,Cases,Deaths,Recoveries,Active Cases,Tests,Date
Sar-e Pol Province,31,1,0,,,2020/5/15
Takhar Province,133,7,6,,,2020/5/15
Urozgan Province,5,0,1,,,2020/5/15
Wardak Province,96,2,4,,,2020/5/15
Zabul Province,38,每,3,,,2020/5/15
Badakhshan Province,13,0,1,,,2020/5/14
Badghis Province,80,0,2,,,2020/5/14
Baghlan Province,113,3,4,,,2020/5/14
Balkh Province,461,18,12,,,2020/5/14
Bamyan Province,36,1,9,,,2020/5/14
Daykundi Province,15,1,5,,,2020/5/14
Farah Province,39,0,12,,,2020/5/14
Faryab Province,37,2,4,,,2020/5/14
Ghazni Province,126,7,10,,,2020/5/14
Ghor Province,39,0,2,,,2020/5/14
Helmand Province,44,0,17,,,2020/5/14
Herat Province,935,22,175,,,2020/5/14
Jowzjan Province,79,4,1,,,2020/5/14
Kabul Province,"1,556",18,252,,,2020/5/14
Kandahar Province,613,15,42,,,2020/5/14
Kapisa Province,22,0,2,,,2020/5/14
Khost Province,11,1,0,,,2020/5/14
Kunar Province,71,1,0,,,2020/5/14
Kunduz Province,65,2,23,,,2020/5/14
Laghman Province,106,2,16,,,2020/5/14
Logar Province,101,5,6,,,2020/5/14
Nangarhar Province,247,12,13,,,2020/5/14
Nimruz Province,63,1,30,,,2020/5/14
Nuristan Province,4,0,0,,,2020/5/14
Paktia Province,200,3,33,,,2020/5/14
Paktika Province,34,1,1,,,2020/5/14
Panjshir Province,79,2,1,,,2020/5/14
Parwan Province,45,3,0,,,2020/5/14
Samangan Province,93,1,8,,,2020/5/14
Sar-e Pol Province,30,1,0,,,2020/5/14
Takhar Province,133,5,4,,,2020/5/14
Urozgan Province,5,0,1,,,2020/5/14
Wardak Province,96,1,3,,,2020/5/14
Zabul Province,33,0,3,,,2020/5/14
Badakhshan Province,13,0,1,,,2020/5/13
Badghis Province,80,0,2,,,2020/5/13
Baghlan Province,88,3,4,,,2020/5/13
Balkh Province,437,17,10,,,2020/5/13
Bamyan Province,36,1,7,,,2020/5/13
Daykundi Province,15,1,5,,,2020/5/13
Farah Province,39,0,12,,,2020/5/13
Faryab Province,36,2,4,,,2020/5/13
Ghazni Province,91,7,10,,,2020/5/13
Ghor Province,39,0,2,,,2020/5/13
Helmand Province,44,0,17,,,2020/5/13
Herat Province,935,22,175,,,2020/5/13
Jowzjan Province,79,4,1,,,2020/5/13
Kabul Province,"1,368",18,221,,,2020/5/13
Kandahar Province,579,15,36,,,2020/5/13
Kapisa Province,22,0,2,,,2020/5/13
Khost Province,10,1,0,,,2020/5/13
Kunar Province,71,1,0,,,2020/5/13
Kunduz Province,65,2,23,,,2020/5/13
Laghman Province,101,2,16,,,2020/5/13
Logar Province,94,5,6,,,2020/5/13
Nangarhar Province,217,12,13,,,2020/5/13
Nimruz Province,58,0,30,,,2020/5/13
Nuristan Province,4,0,0,,,2020/5/13
Paktia Province,200,3,33,,,2020/5/13
Paktika Province,30,1,1,,,2020/5/13
Panjshir Province,77,2,1,,,2020/5/13
Parwan Province,32,3,0,,,2020/5/13
Samangan Province,73,1,6,,,2020/5/13
Sar-e Pol Province,25,1,0,,,2020/5/13
Takhar Province,133,5,4,,,2020/5/13
Urozgan Province,5,0,1,,,2020/5/13
Wardak Province,87,1,3,,,2020/5/13
Zabul Province,30,0,3,,,2020/5/13
Badakhshan Province,13,0,1,,,2020/5/12
Badghis Province,72,0,2,,,2020/5/12
Baghlan Province,81,3,4,,,2020/5/12
Balkh Province,388,17,10,,,2020/5/12
Bamyan Province,34,1,7,,,2020/5/12
Daykundi Province,10,1,5,,,2020/5/12
Farah Province,37,0,12,,,2020/5/12
Faryab Province,32,2,4,,,2020/5/12
Ghazni Province,91,7,4,,,2020/5/12
Ghor Province,36,0,2,,,2020/5/12
Helmand Province,42,0,17,,,2020/5/12
Herat Province,913,20,175,,,2020/5/12
Jowzjan Province,68,2,1,,,2020/5/12
Kabul Province,"1,341",18,208,,,2020/5/12
Kandahar Province,550,15,31,,,2020/5/12
Kapisa Province,22,0,2,,,2020/5/12
Khost Province,10,1,0,,,2020/5/12
Kunar Province,61,1,0,,,2020/5/12
Kunduz Province,63,2,7,,,2020/5/12
Laghman Province,100,2,16,,,2020/5/12
Logar Province,88,4,6,,,2020/5/12
Nangarhar Province,194,12,13,,,2020/5/12
Nimruz Province,55,0,30,,,2020/5/12
Nuristan Province,4,0,0,,,2020/5/12
Paktia Province,200,3,33,,,2020/5/12
Paktika Province,30,1,1,,,2020/5/12
Panjshir Province,75,2,0,,,2020/5/12
Parwan Province,28,3,0,,,2020/5/12
Samangan Province,72,0,6,,,2020/5/12
Sar-e Pol Province,25,1,0,,,2020/5/12
Takhar Province,108,5,2,,,2020/5/12
Urozgan Province,5,0,1,,,2020/5/12
Wardak Province,81,1,1,,,2020/5/12
Zabul Province,27,0,3,,,2020/5/12
Badakhshan Province,12,0,1,,,2020/5/11
Badghis Province,52,0,2,,,2020/5/11
Baghlan Province,81,3,4,,,2020/5/11
Balkh Province,355,17,10,,,2020/5/11
Bamyan Province,34,1,7,,,2020/5/11
Daykundi Province,10,1,5,,,2020/5/11
Farah Province,37,0,12,,,2020/5/11
Faryab Province,31,2,4,,,2020/5/11
Ghazni Province,91,7,4,,,2020/5/11
Ghor Province,36,0,2,,,2020/5/11
Helmand Province,35,0,16,,,2020/5/11
Herat Province,901,20,175,,,2020/5/11
Jowzjan Province,68,2,1,,,2020/5/11
Kabul Province,"1,257",18,192,,,2020/5/11
Kandahar Province,537,12,31,,,2020/5/11
Kapisa Province,30,0,2,,,2020/5/11
Khost Province,10,1,0,,,2020/5/11
Kunar Province,61,1,0,,,2020/5/11
Kunduz Province,58,2,7,,,2020/5/11
Laghman Province,100,2,16,,,2020/5/11
Logar Province,88,4,6,,,2020/5/11
Nangarhar Province,174,12,13,,,2020/5/11
Nimruz Province,53,0,12,,,2020/5/11
Nuristan Province,4,0,0,,,2020/5/11
Paktia Province,199,3,33,,,2020/5/11
Paktika Province,30,1,1,,,2020/5/11
Panjshir Province,63,2,0,,,2020/5/11
Parwan Province,28,3,0,,,2020/5/11
Samangan Province,72,0,6,,,2020/5/11
Sar-e Pol Province,20,1,0,,,2020/5/11
Takhar Province,94,5,2,,,2020/5/11
Urozgan Province,4,0,1,,,2020/5/11
Wardak Province,53,1,1,,,2020/5/11
Zabul Province,22,0,3,,,2020/5/11
Badakhshan Province,12,0,1,,,2020/5/10
Badghis Province,34,0,2,,,2020/5/10
Baghlan Province,81,3,4,,,2020/5/10
Balkh Province,355,17,10,,,2020/5/10
Bamyan Province,29,1,7,,,2020/5/10
Daykundi Province,10,1,5,,,2020/5/10
Farah Province,37,0,12,,,2020/5/10
Faryab Province,31,2,4,,,2020/5/10
Ghazni Province,91,7,4,,,2020/5/10
Ghor Province,31,0,2,,,2020/5/10
Helmand Province,32,0,16,,,2020/5/10
Herat Province,894,20,175,,,2020/5/10
Jowzjan Province,68,2,1,,,2020/5/10
Kabul Province,"1,096",18,186,,,2020/5/10
Kandahar Province,507,11,27,,,2020/5/10
Kapisa Province,30,0,2,,,2020/5/10
Khost Province,10,1,0,,,2020/5/10
Kunar Province,50,1,0,,,2020/5/10
Kunduz Province,53,2,7,,,2020/5/10
Laghman Province,100,2,16,,,2020/5/10
Logar Province,70,4,6,,,2020/5/10
Nangarhar Province,158,12,12,,,2020/5/10
Nimruz Province,53,0,12,,,2020/5/10
Nuristan Province,2,0,0,,,2020/5/10
Paktia Province,199,3,33,,,2020/5/10
Paktika Province,30,1,1,,,2020/5/10
Panjshir Province,63,2,0,,,2020/5/10
Parwan Province,25,3,0,,,2020/5/10
Samangan Province,70,0,6,,,2020/5/10
Sar-e Pol Province,20,1,0,,,2020/5/10
Takhar Province,94,5,2,,,2020/5/10
Urozgan Province,4,0,1,,,2020/5/10
Wardak Province,52,1,1,,,2020/5/10
Zabul Province,22,0,3,,,2020/5/10
Badakhshan Province,8,0,1,,,2020/5/9
Badghis Province,34,0,2,,,2020/5/9
Baghlan Province,60,3,4,,,2020/5/9
Balkh Province,324,16,10,,,2020/5/9
Bamyan Province,29,1,7,,,2020/5/9
Daykundi Province,10,1,5,,,2020/5/9
Farah Province,19,0,6,,,2020/5/9
Faryab Province,31,2,4,,,2020/5/9
Ghazni Province,87,6,4,,,2020/5/9
Ghor Province,31,0,2,,,2020/5/9
Helmand Province,27,0,16,,,2020/5/9
Herat Province,835,19,175,,,2020/5/9
Jowzjan Province,65,1,2,,,2020/5/9
Kabul Province,979,18,139,,,2020/5/9
Kandahar Province,481,9,21,,,2020/5/9
Kapisa Province,19,0,2,,,2020/5/9
Khost Province,10,1,0,,,2020/5/9
Kunar Province,43,1,0,,,2020/5/9
Kunduz Province,53,2,5,,,2020/5/9
Laghman Province,88,1,21,,,2020/5/9
Logar Province,70,4,6,,,2020/5/9
Nangarhar Province,150,12,16,,,2020/5/9
Nimruz Province,53,0,12,,,2020/5/9
Nuristan Province,2,0,0,,,2020/5/9
Paktia Province,198,3,29,,,2020/5/9
Paktika Province,28,1,1,,,2020/5/9
Panjshir Province,54,2,0,,,2020/5/9
Parwan Province,17,3,0,,,2020/5/9
Samangan Province,59,0,6,,,2020/5/9
Sar-e Pol Province,17,1,0,,,2020/5/9
Takhar Province,94,5,2,,,2020/5/9
Urozgan Province,4,0,1,,,2020/5/9
Wardak Province,33,1,1,,,2020/5/9
Zabul Province,21,0,3,,,2020/5/9
Badakhshan Province,8,0,1,,,2020/5/8
Badghis Province,34,0,2,,,2020/5/8
Baghlan Province,60,3,4,,,2020/5/8
Balkh Province,281,15,6,,,2020/5/8
Bamyan Province,28,1,7,,,2020/5/8
Daykundi Province,9,1,5,,,2020/5/8
Farah Province,19,0,6,,,2020/5/8
Faryab Province,31,2,4,,,2020/5/8
Ghazni Province,79,6,4,,,2020/5/8
Ghor Province,31,0,2,,,2020/5/8
Helmand Province,27,0,16,,,2020/5/8
Herat Province,764,19,173,,,2020/5/8
Jowzjan Province,32,1,1,,,2020/5/8
Kabul Province,975,17,139,,,2020/5/8
Kandahar Province,481,9,21,,,2020/5/8
Kapisa Province,19,0,2,,,2020/5/8
Khost Province,10,1,0,,,2020/5/8
Kunar Province,42,0,1,,,2020/5/8
Kunduz Province,42,2,5,,,2020/5/8
Laghman Province,77,1,16,,,2020/5/8
Logar Province,70,4,6,,,2020/5/8
Nangarhar Province,111,12,12,,,2020/5/8
Nimruz Province,53,0,12,,,2020/5/8
Nuristan Province,1,0,0,,,2020/5/8
Paktia Province,182,3,15,,,2020/5/8
Paktika Province,28,1,1,,,2020/5/8
Panjshir Province,53,0,0,,,2020/5/8
Parwan Province,16,3,0,,,2020/5/8
Samangan Province,59,0,6,,,2020/5/8
Sar-e Pol Province,17,1,0,,,2020/5/8
Takhar Province,70,5,1,,,2020/5/8
Urozgan Province,4,0,1,,,2020/5/8
Wardak Province,33,1,1,,,2020/5/8
Zabul Province,21,0,3,,,2020/5/8
Badakhshan Province,8,0,1,,,2020/5/7
Badghis Province,34,0,2,,,2020/5/7
Baghlan Province,60,3,4,,,2020/5/7
Balkh Province,250,15,6,,,2020/5/7
Bamyan Province,28,1,7,,,2020/5/7
Daykundi Province,9,1,5,,,2020/5/7
Farah Province,19,0,6,,,2020/5/7
Faryab Province,27,2,4,,,2020/5/7
Ghazni Province,79,6,4,,,2020/5/7
Ghor Province,23,0,2,,,2020/5/7
Helmand Province,27,0,16,,,2020/5/7
Herat Province,707,19,169,,,2020/5/7
Jowzjan Province,32,1,1,,,2020/5/7
Kabul Province,925,17,139,,,2020/5/7
Kandahar Province,464,8,21,,,2020/5/7
Kapisa Province,19,0,2,,,2020/5/7
Khost Province,8,1,0,,,2020/5/7
Kunar Province,35,0,1,,,2020/5/7
Kunduz Province,42,2,5,,,2020/5/7
Laghman Province,75,1,16,,,2020/5/7
Logar Province,64,4,6,,,2020/5/7
Nangarhar Province,106,10,12,,,2020/5/7
Nimruz Province,53,0,12,,,2020/5/7
Nuristan Province,1,0,0,,,2020/5/7
Paktia Province,173,3,15,,,2020/5/7
Paktika Province,25,1,1,,,2020/5/7
Panjshir Province,53,0,0,,,2020/5/7
Parwan Province,16,3,0,,,2020/5/7
Samangan Province,59,0,6,,,2020/5/7
Sar-e Pol Province,17,1,0,,,2020/5/7
Takhar Province,70,5,1,,,2020/5/7
Urozgan Province,4,0,1,,,2020/5/7
Wardak Province,33,1,1,,,2020/5/7
Zabul Province,18,0,3,,,2020/5/7
Badakhshan Province,2,0,1,,,2020/5/5
Badghis Province,19,0,2,,,2020/5/5
Baghlan Province,56,2,4,,,2020/5/5
Balkh Province,208,13,5,,,2020/5/5
Bamyan Province,16,1,6,,,2020/5/5
Daykundi Province,9,1,5,,,2020/5/5
Farah Province,17,0,6,,,2020/5/5
Faryab Province,9,2,1,,,2020/5/5
Ghazni Province,64,6,4,,,2020/5/5
Ghor Province,23,0,2,,,2020/5/5
Helmand Province,27,0,12,,,2020/5/5
Herat Province,571,14,146,,,2020/5/5
Jowzjan Province,32,1,0,,,2020/5/5
Kabul Province,779,16,127,,,2020/5/5
Kandahar Province,393,8,12,,,2020/5/5
Kapisa Province,15,0,2,,,2020/5/5
Khost Province,7,1,0,,,2020/5/5
Kunar Province,28,0,1,,,2020/5/5
Kunduz Province,37,2,5,,,2020/5/5
Laghman Province,44,0,6,,,2020/5/5
Logar Province,44,1,6,,,2020/5/5
Nangarhar Province,82,9,9,,,2020/5/5
Nimruz Province,53,0,7,,,2020/5/5
Paktia Province,125,3,9,,,2020/5/5
Paktika Province,16,1,1,,,2020/5/5
Panjshir Province,38,0,0,,,2020/5/5
Parwan Province,9,0,0,,,2020/5/5
Samangan Province,48,0,6,,,2020/5/5
Sar-e Pol Province,16,1,0,,,2020/5/5
Takhar Province,59,4,1,,,2020/5/5
Urozgan Province,4,0,1,,,2020/5/5
Wardak Province,20,1,1,,,2020/5/5
Zabul Province,13,0,3,,,2020/5/5
Badakhshan Province,2,0,1,,,2020/5/4
Badghis Province,19,0,2,,,2020/5/4
Baghlan Province,56,2,4,,,2020/5/4
Balkh Province,208,13,5,,,2020/5/4
Bamyan Province,16,1,6,,,2020/5/4
Daykundi Province,9,1,5,,,2020/5/4
Farah Province,17,0,6,,,2020/5/4
Faryab Province,9,2,1,,,2020/5/4
Ghazni Province,64,6,4,,,2020/5/4
Ghor Province,23,0,2,,,2020/5/4
Helmand Province,27,0,12,,,2020/5/4
Herat Province,571,14,146,,,2020/5/4
Jowzjan Province,32,1,0,,,2020/5/4
Kabul Province,779,16,127,,,2020/5/4
Kandahar Province,393,8,12,,,2020/5/4
Kapisa Province,15,0,2,,,2020/5/4
Khost Province,7,1,0,,,2020/5/4
Kunar Province,28,0,1,,,2020/5/4
Kunduz Province,37,2,5,,,2020/5/4
Laghman Province,44,0,6,,,2020/5/4
Logar Province,44,1,6,,,2020/5/4
Nangarhar Province,82,9,9,,,2020/5/4
Nimruz Province,53,0,7,,,2020/5/4
Paktia Province,125,3,9,,,2020/5/4
Paktika Province,16,1,1,,,2020/5/4
Panjshir Province,38,0,0,,,2020/5/4
Parwan Province,9,0,0,,,2020/5/4
Samangan Province,48,0,6,,,2020/5/4
Sar-e Pol Province,16,1,0,,,2020/5/4
Takhar Province,59,4,1,,,2020/5/4
Urozgan Province,4,0,1,,,2020/5/4
Wardak Province,20,1,1,,,2020/5/4
Zabul Province,13,0,3,,,2020/5/4
Badakhshan Province,2,0,1,,,2020/5/3
Badghis Province,23,0,2,,,2020/5/3
Baghlan Province,56,2,4,,,2020/5/3
Balkh Province,191,13,5,,,2020/5/3
Bamyan Province,16,1,6,,,2020/5/3
Daykundi Province,9,1,5,,,2020/5/3
Farah Province,13,0,6,,,2020/5/3
Faryab Province,9,2,1,,,2020/5/3
Ghazni Province,64,6,4,,,2020/5/3
Ghor Province,23,0,2,,,2020/5/3
Helmand Province,26,0,8,,,2020/5/3
Herat Province,541,13,139,,,2020/5/3
Jowzjan Province,32,1,0,,,2020/5/3
Kabul Province,755,15,106,,,2020/5/3
Kandahar Province,368,8,7,,,2020/5/3
Kapisa Province,15,0,2,,,2020/5/3
Khost Province,6,1,0,,,2020/5/3
Kunar Province,23,0,1,,,2020/5/3
Kunduz Province,37,2,5,,,2020/5/3
Laghman Province,44,0,6,,,2020/5/3
Logar Province,44,1,6,,,2020/5/3
Nangarhar Province,69,9,6,,,2020/5/3
Nimruz Province,52,0,7,,,2020/5/3
Paktia Province,84,1,5,,,2020/5/3
Paktika Province,14,1,1,,,2020/5/3
Panjshir Province,38,0,0,,,2020/5/3
Parwan Province,9,0,0,,,2020/5/3
Samangan Province,39,0,6,,,2020/5/3
Sar-e Pol Province,10,1,0,,,2020/5/3
Takhar Province,59,4,1,,,2020/5/3
Urozgan Province,3,0,0,,,2020/5/3
Wardak Province,20,1,0,,,2020/5/3
Zabul Province,10,0,3,,,2020/5/3
Badakhshan Province,2,0,1,,,2020/5/2
Badghis Province,18,0,2,,,2020/5/2
Baghlan Province,44,2,4,,,2020/5/2
Balkh Province,191,11,5,,,2020/5/2
Bamyan Province,11,0,6,,,2020/5/2
Daykundi Province,9,1,5,,,2020/5/2
Farah Province,9,0,6,,,2020/5/2
Faryab Province,9,0,1,,,2020/5/2
Ghazni Province,64,3,4,,,2020/5/2
Ghor Province,13,0,2,,,2020/5/2
Helmand Province,25,0,8,,,2020/5/2
Herat Province,522,13,133,,,2020/5/2
Jowzjan Province,32,1,0,,,2020/5/2
Kabul Province,692,15,106,,,2020/5/2
Kandahar Province,314,7,7,,,2020/5/2
Kapisa Province,15,0,2,,,2020/5/2
Khost Province,6,0,0,,,2020/5/2
Kunar Province,21,0,1,,,2020/5/2
Kunduz Province,37,0,5,,,2020/5/2
Laghman Province,39,0,1,,,2020/5/2
Logar Province,44,1,6,,,2020/5/2
Nangarhar Province,57,8,3,,,2020/5/2
Nimruz Province,52,0,5,,,2020/5/2
Paktia Province,55,1,6,,,2020/5/2
Paktika Province,14,1,1,,,2020/5/2
Panjshir Province,24,0,0,,,2020/5/2
Parwan Province,7,0,0,,,2020/5/2
Samangan Province,26,0,6,,,2020/5/2
Sar-e Pol Province,7,1,0,,,2020/5/2
Takhar Province,46,4,1,,,2020/5/2
Urozgan Province,3,0,0,,,2020/5/2
Wardak Province,13,1,0,,,2020/5/2
Zabul Province,10,0,3,,,2020/5/2
Badakhshan Province,2,0,1,,,2020/5/1
Badghis Province,14,0,2,,,2020/5/1
Baghlan Province,27,2,3,,,2020/5/1
Balkh Province,169,8,3,,,2020/5/1
Bamyan Province,7,0,5,,,2020/5/1
Daykundi Province,9,1,5,,,2020/5/1
Farah Province,9,0,6,,,2020/5/1
Faryab Province,9,0,1,,,2020/5/1
Ghazni Province,54,3,3,,,2020/5/1
Ghor Province,10,0,1,,,2020/5/1
Helmand Province,24,0,0,,,2020/5/1
Herat Province,475,12,110,,,2020/5/1
Jowzjan Province,10,1,0,,,2020/5/1
Kabul Province,573,15,75,,,2020/5/1
Kandahar Province,299,7,7,,,2020/5/1
Kapisa Province,10,0,2,,,2020/5/1
Khost Province,6,0,0,,,2020/5/1
Kunar Province,21,0,1,,,2020/5/1
Kunduz Province,37,0,5,,,2020/5/1
Laghman Province,36,0,1,,,2020/5/1
Logar Province,39,1,2,,,2020/5/1
Nangarhar Province,41,5,2,,,2020/5/1
Nimruz Province,52,0,5,,,2020/5/1
Paktia Province,55,1,6,,,2020/5/1
Paktika Province,14,1,1,,,2020/5/1
Panjshir Province,24,0,0,,,2020/5/1
Parwan Province,6,0,0,,,2020/5/1
Samangan Province,26,0,6,,,2020/5/1
Sar-e Pol Province,7,1,0,,,2020/5/1
Takhar Province,42,4,1,,,2020/5/1
Urozgan Province,3,0,0,,,2020/5/1
Wardak Province,10,1,0,,,2020/5/1
Zabul Province,8,0,2,,,2020/5/1
Badakhshan Province,2,0,1,,,2020/4/30
Badghis Province,14,0,2,,,2020/4/30
Baghlan Province,27,2,3,,,2020/4/30
Balkh Province,169,8,3,,,2020/4/30
Bamyan Province,7,0,5,,,2020/4/30
Daykundi Province,9,1,5,,,2020/4/30
Farah Province,9,0,6,,,2020/4/30
Faryab Province,9,0,1,,,2020/4/30
Ghazni Province,54,3,3,,,2020/4/30
Ghor Province,10,0,1,,,2020/4/30
Helmand Province,24,0,0,,,2020/4/30
Herat Province,475,12,110,,,2020/4/30
Jowzjan Province,10,1,0,,,2020/4/30
Kabul Province,573,15,75,,,2020/4/30
Kandahar Province,299,7,7,,,2020/4/30
Kapisa Province,10,0,2,,,2020/4/30
Khost Province,6,0,0,,,2020/4/30
Kunar Province,21,0,1,,,2020/4/30
Kunduz Province,37,0,5,,,2020/4/30
Laghman Province,36,0,1,,,2020/4/30
Logar Province,39,1,2,,,2020/4/30
Nangarhar Province,41,5,2,,,2020/4/30
Nimruz Province,52,0,5,,,2020/4/30
Paktia Province,55,1,6,,,2020/4/30
Paktika Province,14,1,1,,,2020/4/30
Panjshir Province,24,0,0,,,2020/4/30
Parwan Province,6,0,0,,,2020/4/30
Samangan Province,26,0,6,,,2020/4/30
Sar-e Pol Province,7,1,0,,,2020/4/30
Takhar Province,42,4,1,,,2020/4/30
Urozgan Province,3,0,0,,,2020/4/30
Wardak Province,10,1,0,,,2020/4/30
Zabul Province,8,0,2,,,2020/4/30
Badakhshan Province,2,0,1,,,2020/4/29
Badghis Province,10,0,2,,,2020/4/29
Baghlan Province,22,2,2,,,2020/4/29
Balkh Province,128,8,3,,,2020/4/29
Bamyan Province,7,0,2,,,2020/4/29
Daykundi Province,9,1,1,,,2020/4/29
Farah Province,9,0,6,,,2020/4/29
Faryab Province,8,0,1,,,2020/4/29
Ghazni Province,36,3,3,,,2020/4/29
Ghor Province,10,0,1,,,2020/4/29
Helmand Province,22,0,0,,,2020/4/29
Herat Province,441,13,110,,,2020/4/29
Jowzjan Province,10,1,0,,,2020/4/29
Kabul Province,553,14,71,,,2020/4/29
Kandahar Province,239,6,9,,,2020/4/29
Kapisa Province,10,0,2,,,2020/4/29
Khost Province,6,0,0,,,2020/4/29
Kunar Province,21,2,0,,,2020/4/29
Kunduz Province,30,0,1,,,2020/4/29
Laghman Province,28,0,0,,,2020/4/29
Logar Province,29,1,2,,,2020/4/29
Nangarhar Province,41,5,2,,,2020/4/29
Nimruz Province,52,0,5,,,2020/4/29
Paktia Province,55,1,6,,,2020/4/29
Paktika Province,19,1,1,,,2020/4/29
Panjshir Province,15,0,0,,,2020/4/29
Parwan Province,4,0,0,,,2020/4/29
Samangan Province,16,0,6,,,2020/4/29
Sar-e Pol Province,6,1,0,,,2020/4/29
Takhar Province,31,2,1,,,2020/4/29
Urozgan Province,3,0,0,,,2020/4/29
Wardak Province,7,0,0,,,2020/4/29
Zabul Province,8,0,2,,,2020/4/29
Badakhshan Province,2,0,1,,,2020/4/28
Badghis Province,10,0,2,,,2020/4/28
Baghlan Province,22,2,2,,,2020/4/28
Balkh Province,128,8,3,,,2020/4/28
Bamyan Province,7,0,2,,,2020/4/28
Daykundi Province,9,1,1,,,2020/4/28
Farah Province,9,0,6,,,2020/4/28
Faryab Province,8,0,1,,,2020/4/28
Ghazni Province,36,3,3,,,2020/4/28
Ghor Province,10,0,1,,,2020/4/28
Helmand Province,22,0,0,,,2020/4/28
Herat Province,441,10,110,,,2020/4/28
Jowzjan Province,10,1,0,,,2020/4/28
Kabul Province,494,14,60,,,2020/4/28
Kandahar Province,239,6,9,,,2020/4/28
Kapisa Province,10,0,2,,,2020/4/28
Khost Province,6,0,0,,,2020/4/28
Kunar Province,21,2,0,,,2020/4/28
Kunduz Province,30,0,1,,,2020/4/28
Laghman Province,28,0,0,,,2020/4/28
Logar Province,29,1,2,,,2020/4/28
Nangarhar Province,41,5,2,,,2020/4/28
Nimruz Province,52,0,5,,,2020/4/28
Paktia Province,55,1,6,,,2020/4/28
Paktika Province,19,1,1,,,2020/4/28
Panjshir Province,15,0,0,,,2020/4/28
Parwan Province,4,0,0,,,2020/4/28
Samangan Province,16,0,6,,,2020/4/28
Sar-e Pol Province,6,0,1,,,2020/4/28
Takhar Province,31,2,1,,,2020/4/28
Urozgan Province,3,0,0,,,2020/4/28
Wardak Province,7,0,0,,,2020/4/28
Zabul Province,8,0,2,,,2020/4/28
Badakhshan Province,1,0,1,,,2020/4/27
Badghis Province,9,0,0,,,2020/4/27
Baghlan Province,22,2,2,,,2020/4/27
Balkh Province,91,6,3,,,2020/4/27
Bamyan Province,10,0,2,,,2020/4/27
Daykundi Province,9,1,1,,,2020/4/27
Farah Province,10,0,6,,,2020/4/27
Faryab Province,9,0,1,,,2020/4/27
Ghazni Province,32,4,3,,,2020/4/27
Ghor Province,10,0,1,,,2020/4/27
Helmand Province,24,0,0,,,2020/4/27
Herat Province,456,10,102,,,2020/4/27
Jowzjan Province,11,1,0,,,2020/4/27
Kabul Province,507,14,45,,,2020/4/27
Kandahar Province,245,5,6,,,2020/4/27
Kapisa Province,13,0,2,,,2020/4/27
Khost Province,6,0,0,,,2020/4/27
Kunar Province,23,1,0,,,2020/4/27
Kunduz Province,30,0,1,,,2020/4/27
Laghman Province,23,0,0,,,2020/4/27
Logar Province,19,1,2,,,2020/4/27
Nangarhar Province,36,2,0,,,2020/4/27
Nimruz Province,53,0,5,,,2020/4/27
Paktia Province,55,1,0,,,2020/4/27
Paktika Province,11,1,0,,,2020/4/27
Panjshir Province,8,0,0,,,2020/4/27
Parwan Province,5,0,0,,,2020/4/27
Samangan Province,17,0,6,,,2020/4/27
Sar-e Pol Province,6,0,0,,,2020/4/27
Takhar Province,21,2,0,,,2020/4/27
Urozgan Province,3,0,0,,,2020/4/27
Wardak Province,6,0,0,,,2020/4/27
Zabul Province,10,0,2,,,2020/4/27
Badakhshan Province,1,0,1,,,2020/4/26
Badghis Province,3,0,0,,,2020/4/26
Baghlan Province,13,2,2,,,2020/4/26
Balkh Province,76,6,3,,,2020/4/26
Bamyan Province,10,0,2,,,2020/4/26
Daykundi Province,9,1,1,,,2020/4/26
Farah Province,10,0,6,,,2020/4/26
Faryab Province,5,0,1,,,2020/4/26
Ghazni Province,19,2,3,,,2020/4/26
Ghor Province,5,0,1,,,2020/4/26
Helmand Province,22,0,0,,,2020/4/26
Herat Province,390,8,97,,,2020/4/26
Jowzjan Province,11,1,0,,,2020/4/26
Kabul Province,474,14,45,,,2020/4/26
Kandahar Province,224,5,6,,,2020/4/26
Kapisa Province,13,0,2,,,2020/4/26
Kunar Province,22,1,0,,,2020/4/26
Kunduz Province,23,0,1,,,2020/4/26
Laghman Province,20,0,0,,,2020/4/26
Logar Province,19,1,2,,,2020/4/26
Nangarhar Province,32,2,0,,,2020/4/26
Nimruz Province,53,0,5,,,2020/4/26
Paktia Province,35,1,0,,,2020/4/26
Paktika Province,2,1,0,,,2020/4/26
Panjshir Province,7,0,0,,,2020/4/26
Parwan Province,5,0,0,,,2020/4/26
Samangan Province,13,0,6,,,2020/4/26
Sar-e Pol Province,1,0,0,,,2020/4/26
Takhar Province,21,2,0,,,2020/4/26
Urozgan Province,3,0,0,,,2020/4/26
Wardak Province,6,0,0,,,2020/4/26
Zabul Province,10,0,2,,,2020/4/26
Badakhshan Province,1,0,1,,,2020/4/25
Badghis Province,3,0,0,,,2020/4/25
Baghlan Province,13,2,2,,,2020/4/25
Balkh Province,76,6,3,,,2020/4/25
Bamyan Province,10,0,2,,,2020/4/25
Daykundi Province,9,1,1,,,2020/4/25
Farah Province,10,0,6,,,2020/4/25
Faryab Province,5,0,1,,,2020/4/25
Ghazni Province,19,2,3,,,2020/4/25
Ghor Province,5,0,1,,,2020/4/25
Helmand Province,22,0,0,,,2020/4/25
Herat Province,386,7,100,,,2020/4/25
Jowzjan Province,11,1,0,,,2020/4/25
Kabul Province,474,14,45,,,2020/4/25
